X:Vel_RX-GEAR22-jiandanjiaolian(rad/s),X:Vel_RY-GEAR22-jiandanjiaolian(rad/s),X:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),X:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2),Y:Vel_RX-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RY-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),Y:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2)
0.090753000,0.090753000,0.090753000,0.090753000,0.090753000,0.090753000,-0.90955508,-3.1304079e-15,3.2313888e-15,0.28938370,9.9596940e-16,-1.0280974e-15
0.091753000,0.091753000,0.091753000,0.091753000,0.091753000,0.091753000,-0.90948273,-3.1301589e-15,3.2311317e-15,0.14469185,4.9798470e-16,-5.1404872e-16
0.092753000,0.092753000,0.092753000,0.092753000,0.092753000,0.092753000,-0.90944656,-3.1300344e-15,3.2310032e-15,0.072345926,2.4899235e-16,-2.5702436e-16
0.093753000,0.093753000,0.093753000,0.093753000,0.093753000,0.093753000,-0.90942847,-3.1299721e-15,3.2309390e-15,0.036172963,1.2449618e-16,-1.2851218e-16
0.094753000,0.094753000,0.094753000,0.094753000,0.094753000,0.094753000,-0.90941943,-3.1299410e-15,3.2309068e-15,0.018086482,6.2248088e-17,-6.4256090e-17
0.095753000,0.095753000,0.095753000,0.095753000,0.095753000,0.095753000,-0.90941491,-3.1299254e-15,3.2308908e-15,0.0090432408,3.1124044e-17,-3.2128045e-17
0.096753000,0.096753000,0.096753000,0.096753000,0.096753000,0.096753000,-0.90941264,-3.1299177e-15,3.2308827e-15,0.0045216204,1.5562022e-17,-1.6064023e-17
0.097753000,0.097753000,0.097753000,0.097753000,0.097753000,0.097753000,-0.90941151,-3.1299138e-15,3.2308787e-15,0.0022608102,7.7810110e-18,-8.0320113e-18
0.098753000,0.098753000,0.098753000,0.098753000,0.098753000,0.098753000,-0.90941095,-3.1299118e-15,3.2308767e-15,0.0011304051,3.8905055e-18,-4.0160057e-18
0.099753000,0.099753000,0.099753000,0.099753000,0.099753000,0.099753000,-0.90941067,-3.1299108e-15,3.2308757e-15,0.00056520255,1.9452527e-18,-2.0080028e-18
0.10075300,0.10075300,0.10075300,0.10075300,0.10075300,0.10075300,-0.95645815,-3.2918338e-15,3.3980219e-15,-31.364799,-1.0794796e-13,1.1143015e-13
0.10175300,0.10175300,0.10175300,0.10175300,0.10175300,0.10175300,-1.0223422,-3.5185865e-15,3.6320893e-15,-54.377661,-1.8715113e-13,1.9318826e-13
0.10275300,0.10275300,0.10275300,0.10275300,0.10275300,0.10275300,-1.0359367,-3.5653742e-15,3.6803863e-15,-27.188830,-9.3575563e-14,9.6594129e-14
0.10375300,0.10375300,0.10375300,0.10375300,0.10375300,0.10375300,-1.0427339,-3.5887681e-15,3.7045349e-15,-13.594415,-4.6787781e-14,4.8297065e-14
0.10475300,0.10475300,0.10475300,0.10475300,0.10475300,0.10475300,-1.0461325,-3.6004651e-15,3.7166091e-15,-6.7972076,-2.3393891e-14,2.4148532e-14
0.10575300,0.10575300,0.10575300,0.10575300,0.10575300,0.10575300,-1.0478318,-3.6063136e-15,3.7226463e-15,-3.3986038,-1.1696945e-14,1.2074266e-14
0.10675300,0.10675300,0.10675300,0.10675300,0.10675300,0.10675300,-1.0486814,-3.6092378e-15,3.7256648e-15,-1.6993019,-5.8484727e-15,6.0371331e-15
0.10775300,0.10775300,0.10775300,0.10775300,0.10775300,0.10775300,-1.0491062,-3.6106999e-15,3.7271741e-15,-0.84965095,-2.9242363e-15,3.0185665e-15
0.10875300,0.10875300,0.10875300,0.10875300,0.10875300,0.10875300,-1.0493187,-3.6114310e-15,3.7279287e-15,-0.42482547,-1.4621182e-15,1.5092833e-15
0.10975300,0.10975300,0.10975300,0.10975300,0.10975300,0.10975300,-1.0494249,-3.6117965e-15,3.7283061e-15,-0.21241274,-7.3105908e-16,7.5464163e-16
0.11075300,0.11075300,0.11075300,0.11075300,0.11075300,0.11075300,-1.0494780,-3.6119793e-15,3.7284947e-15,-0.10620637,-3.6552954e-16,3.7732082e-16
0.11175300,0.11175300,0.11175300,0.11175300,0.11175300,0.11175300,-1.0495045,-3.6120706e-15,3.7285891e-15,-0.053103184,-1.8276477e-16,1.8866041e-16
0.11275300,0.11275300,0.11275300,0.11275300,0.11275300,0.11275300,-1.0495178,-3.6121163e-15,3.7286362e-15,-0.026551592,-9.1382385e-17,9.4330204e-17
0.11375300,0.11375300,0.11375300,0.11375300,0.11375300,0.11375300,-1.0495244,-3.6121392e-15,3.7286598e-15,-0.013275796,-4.5691193e-17,4.7165102e-17
0.11475300,0.11475300,0.11475300,0.11475300,0.11475300,0.11475300,-1.0495278,-3.6121506e-15,3.7286716e-15,-0.0066378980,-2.2845596e-17,2.3582551e-17
0.11575300,0.11575300,0.11575300,0.11575300,0.11575300,0.11575300,-1.0495294,-3.6121563e-15,3.7286775e-15,-0.0033189490,-1.1422798e-17,1.1791276e-17
0.11675300,0.11675300,0.11675300,0.11675300,0.11675300,0.11675300,-1.0495302,-3.6121592e-15,3.7286804e-15,-0.0016594745,-5.7113991e-18,5.8956378e-18
