X:Pos_TX-Body2-rev_clearance_joint_ideal(m),X:Pos_TY-Body2-rev_clearance_joint_ideal(m),X:Pos_TZ-Body2-rev_clearance_joint_ideal(m),X:Vel_TX-Body2-rev_clearance_joint_ideal(m/s),X:Vel_TY-Body2-rev_clearance_joint_ideal(m/s),X:Vel_TZ-Body2-rev_clearance_joint_ideal(m/s),X:Acc_TX-Body2-rev_clearance_joint_ideal(m/s^2),X:Acc_TY-Body2-rev_clearance_joint_ideal(m/s^2),X:Acc_TZ-Body2-rev_clearance_joint_ideal(m/s^2),Y:Pos_TX-Body2-rev_clearance_joint_ideal(m),Y:Pos_TY-Body2-rev_clearance_joint_ideal(m),Y:Pos_TZ-Body2-rev_clearance_joint_ideal(m),Y:Vel_TX-Body2-rev_clearance_joint_ideal(m/s),Y:Vel_TY-Body2-rev_clearance_joint_ideal(m/s),Y:Vel_TZ-Body2-rev_clearance_joint_ideal(m/s),Y:Acc_TX-Body2-rev_clearance_joint_ideal(m/s^2),Y:Acc_TY-Body2-rev_clearance_joint_ideal(m/s^2),Y:Acc_TZ-Body2-rev_clearance_joint_ideal(m/s^2)
0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,0.0061330000,1.6438863e-06,-1.9414979e-05,2.6598360,1.1724392e-16,-0.033580239,-2.4511272e-07,1.9115416e-14,-5.4753366,-0.00046391433
0.0066450000,0.0066450000,0.0066450000,0.0066450000,0.0066450000,0.0066450000,0.0066450000,0.0066450000,0.0066450000,1.6438863e-06,-3.7325725e-05,2.6598360,1.2703092e-16,-0.036383612,-5.1057459e-07,1.9115030e-14,-5.4753366,-0.00057452344
0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,0.0071570000,1.6438863e-06,-5.6671797e-05,2.6598360,1.3681771e-16,-0.039186984,-8.3493750e-07,1.9114612e-14,-5.4753366,-0.00069399651
0.0076690000,0.0076690000,0.0076690000,0.0076690000,0.0076690000,0.0076690000,0.0076690000,0.0076690000,0.0076690000,1.6438863e-06,-7.7453196e-05,2.6598360,1.4660428e-16,-0.041990356,-1.2227398e-06,1.9114164e-14,-5.4753366,-0.00082233355
0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,0.0081810000,1.6438863e-06,-9.9669922e-05,2.6598360,1.5639061e-16,-0.044793729,-1.6785198e-06,1.9113685e-14,-5.4753366,-0.00095953455
0.0086930000,0.0086930000,0.0086930000,0.0086930000,0.0086930000,0.0086930000,0.0086930000,0.0086930000,0.0086930000,1.6438863e-06,-0.00012332197,2.6598360,1.6617669e-16,-0.047597101,-2.2068160e-06,1.9113175e-14,-5.4753366,-0.0011055995
0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,0.0092050000,1.6438863e-06,-0.00014840935,2.6598360,1.7596249e-16,-0.050400473,-2.8121665e-06,1.9112634e-14,-5.4753365,-0.0012605284
0.0097170000,0.0097170000,0.0097170000,0.0097170000,0.0097170000,0.0097170000,0.0097170000,0.0097170000,0.0097170000,1.6438863e-06,-0.00017493206,2.6598360,1.8574802e-16,-0.053203846,-3.4991099e-06,1.9112062e-14,-5.4753365,-0.0014243213
0.010229000,0.010229000,0.010229000,0.010229000,0.010229000,0.010229000,0.010229000,0.010229000,0.010229000,1.6438863e-06,-0.00020289009,2.6598360,1.9553324e-16,-0.056007218,-4.2721843e-06,1.9111459e-14,-5.4753365,-0.0015969782
0.010741000,0.010741000,0.010741000,0.010741000,0.010741000,0.010741000,0.010741000,0.010741000,0.010741000,1.6438863e-06,-0.00023228345,2.6598360,2.0531815e-16,-0.058810590,-5.1359283e-06,1.9110825e-14,-5.4753365,-0.0017784990
